Numero do imovel;UF;Cidade;Bairro;Endereco;Preco;Valor de avaliacao;Desconto;Preco 1o leilao;Preco 2o leilao;Tipo;Quartos;Garagem;Area total;Area privativa;Matricula;Comarca;Oficio;Situacao;Descricao;Modalidade;Edital;Leiloeiro;Plataforma;Data certame;Condominio (regra);Tributos (regra);Formas de pagamento;Aceita FGTS;Aceita financiamento;Matricula PDF;Edital PDF;Link
000001018127-9;SC;SAO_JOSE;KOBRASOL;AVENIDA LEDIO JOAO MARTINS,N. 554 SL 106 ED DOM ALEXANDRE, KOBRASOL - CEP: 88101-100, SAO JOSE - SANTA CATARINA;395.960,11;250.000,00;-58,38;250.000,00;395.960,11;Sala;;;;33,30m2;26065;SAO JOSE-SC;01;Ocupado;. Ocupado;Leilão SFI;0044/0226 - CPA/RE;WERNO KLÖCKNER JÚNIOR;www.kleiloes.com.br;28/09/2026 / 02/10/2026;Sob responsabilidade do comprador.;Sob responsabilidade do comprador.;Exclusivamente à vista (somente recursos próprios).;NAO;NAO;https://venda-imoveis.caixa.gov.br/editais/matricula/SC/0000010181279.pdf;https://venda-imoveis.caixa.gov.br/editais/EL00440226CPARE.PDF;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=00000010181279
144441762824-5;SC;SAO_JOSE;FORQUILHINHA;RUA PEDRO PAULO DE ABREU,N. 801 APTO. 404 BL A VG 16, FORQUILHINHA - CEP: 88106-785, SAO JOSE - SANTA CATARINA;185.854,53;305.000,00;39,06;305.011,21;185.854,53;Apartamento;3;1;80,44m2;68,77m2;76157;SAO JOSE-SC;01;Ocupado;3 Quartos, 1 Vaga na Garagem, Wc, Sala, Cozinha. . Ocupado;Leilão SFI;0049/0226 - CPA/RE;EDUARDO SCHMITZ;www.clicleiloes.com.br;20/10/2026 / 26/10/2026;Sob responsabilidade do comprador.;Sob responsabilidade do comprador.;Recursos próprios. Permite utilização de FGTS. Consulte condições e enquadramento.;SIM;NAO;https://venda-imoveis.caixa.gov.br/editais/matricula/SC/1444417628245.pdf;https://venda-imoveis.caixa.gov.br/editais/EL00490226CPARE.PDF;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=01444417628245
144442332474-0;SC;SAO_JOSE;POTECAS;RUA HELMUTH FETT,N. 254 CASA 03, POTECAS - CEP: 88119-368, SAO JOSE - SANTA CATARINA;337.393,03;360.000,00;6,28;360.000,00;337.393,03;Casa;2;;73,87m2;71,43m2;149912;SAO JOSE-SC;01;Ocupado;2 Quartos, Área de Serviço, Wc, Sala, Lavabo, Cozinha. . Ocupado;Leilão SFI;0043/0226 - CPA/RE;LILIAMAR FÁTIMA PARMEGGIANI PESTANA MARQUES GOMES;www.pestanaleiloes.com.br;18/09/2026 / 24/09/2026;Sob responsabilidade do comprador.;Sob responsabilidade do comprador.;Recursos próprios. Permite utilização de FGTS. Consulte condições e enquadramento.;SIM;NAO;https://venda-imoveis.caixa.gov.br/editais/matricula/SC/1444423324740.pdf;https://venda-imoveis.caixa.gov.br/editais/EL00430226CPARE.PDF;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=01444423324740
844440736266-6;SC;SAO_JOSE;SERRARIA;RUA WENCESLAU EVARISTO SILVA,N. 31 APTO. 105 BL EMILIA, SERRARIA - CEP: 88115-200, SAO JOSE - SANTA CATARINA;144.000,00;240.000,00;40,00;240.000,00;144.000,00;Apartamento;2;1;54,54m2;46,52m2;13947;SAO JOSE-SC;02;Ocupado;2 Quartos, 1 Vaga na Garagem, Wc, Sala. . Ocupado;Leilão SFI;0044/0226 - CPA/RE;WERNO KLÖCKNER JÚNIOR;www.kleiloes.com.br;28/09/2026 / 02/10/2026;Sob responsabilidade do comprador.;Sob responsabilidade do comprador.;Recursos próprios. Permite utilização de FGTS. Consulte condições e enquadramento.;SIM;NAO;https://venda-imoveis.caixa.gov.br/editais/matricula/SC/8444407362666.pdf;https://venda-imoveis.caixa.gov.br/editais/EL00440226CPARE.PDF;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=08444407362666
844442822457-2;SC;SAO_JOSE;REAL PARQUE;RUA ALMERINDA FRANCISCO DOS SANTOS,N. 19 APTO. 32 BL 5 VG 02 DEPÓSITO 02, REAL PARQUE - CEP: 88113-487, SAO JOSE - SANTA CATARINA;157.056,10;256.500,00;38,77;;;Apartamento;2;1;67,01m2;57,22m2;7668;SAO JOSE-SC;02;Ocupado;2 Quartos, 1 Vaga na Garagem, Área de Serviço, Wc, Sala, Cozinha. . Ocupado;Licitação Aberta;0031/0326 - CPVE/RE;IVES HARRISSON NASAR DOS SANTOS;www.nasarleiloes.com.br;29/09/2026;Sob responsabilidade do comprador, até o limite de 10% em relação ao valor de avaliação do imóvel. A CAIXA realizará o pagamento apenas do valor que exceder o limite de 10% do valor de avaliação.;Sob responsabilidade do comprador, quando o débito for inferior a 10% do valor de avaliação. A CAIXA paga integralmente quando o débito for superior a 10% do valor de avaliação.;Recursos próprios. Permite utilização de FGTS. Consulte condições e enquadramento.;SIM;NAO;https://venda-imoveis.caixa.gov.br/editais/matricula/SC/8444428224572.pdf;https://venda-imoveis.caixa.gov.br/editais/EA00310326CPVERE.PDF;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=08444428224572
855553476258-4;SC;SAO_JOSE;REAL PARQUE;RUA ALMERINDA FRANCISCO DOS SANTOS,N. 176 APTO. 405 BLOCO B, REAL PARQUE - CEP: 88113-487, SAO JOSE - SANTA CATARINA;177.600,00;296.000,00;40,00;296.000,00;177.600,00;Apartamento;2;1;87,28m2;60,28m2;11481;SAO JOSE-SC;02;Ocupado;2 Quartos, 1 Vaga na Garagem, Área de Serviço, Wc, Sala, Cozinha. . Ocupado;Leilão SFI;0043/0226 - CPA/RE;LILIAMAR FÁTIMA PARMEGGIANI PESTANA MARQUES GOMES;www.pestanaleiloes.com.br;18/09/2026 / 24/09/2026;Sob responsabilidade do comprador.;Sob responsabilidade do comprador.;Recursos próprios. Permite utilização de FGTS. Consulte condições e enquadramento.;SIM;NAO;https://venda-imoveis.caixa.gov.br/editais/matricula/SC/8555534762584.pdf;https://venda-imoveis.caixa.gov.br/editais/EL00430226CPARE.PDF;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=08555534762584
878771222509-2;SC;SAO_JOSE;AREIAS;RUA LOURIVAL LUIZ GOMES,N. 315 APTO. 203 BL 19 VAGA 336, AREIAS - CEP: 88113-845, SAO JOSE - SANTA CATARINA;154.256,96;250.000,00;38,30;250.000,00;154.256,96;Apartamento;2;1;75,55m2;40,28m2;2772;SAO JOSE-SC;02;Ocupado;2 Quartos, 1 Vaga na Garagem, Wc, Sala, Cozinha. . Ocupado;Leilão SFI;0048/0226 - CPA/RE;CIRLEI FREITAS BALBINO DA SILVA;www.globoleiloes.com.br;14/10/2026 / 20/10/2026;Sob responsabilidade do comprador.;Sob responsabilidade do comprador.;Recursos próprios. Permite utilização de FGTS. Consulte condições e enquadramento.;SIM;NAO;https://venda-imoveis.caixa.gov.br/editais/matricula/SC/8787712225092.pdf;https://venda-imoveis.caixa.gov.br/editais/EL00480226CPARE.PDF;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=08787712225092
878771288948-9;SC;SAO_JOSE;FORQUILHAS LESTE;RUA VIDAL VICENTE ANDRADE,N. 1171 APTO. 104 BLOCO 04 VAGA 189, FORQUILHAS LESTE - CEP: 88107-001, SAO JOSE - SANTA CATARINA;156.000,00;260.000,00;40,00;260.000,00;156.000,00;Apartamento;2;1;76,62m2;40,28m2;148830;SAO JOSE-SC;01;Ocupado;2 Quartos, 1 Vaga na Garagem, Wc, Sala, Cozinha. . Ocupado;Leilão SFI;0043/0226 - CPA/RE;LILIAMAR FÁTIMA PARMEGGIANI PESTANA MARQUES GOMES;www.pestanaleiloes.com.br;18/09/2026 / 24/09/2026;Sob responsabilidade do comprador.;Sob responsabilidade do comprador.;Recursos próprios. Permite utilização de FGTS. Consulte condições e enquadramento.;SIM;NAO;https://venda-imoveis.caixa.gov.br/editais/matricula/SC/8787712889489.pdf;https://venda-imoveis.caixa.gov.br/editais/EL00430226CPARE.PDF;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=08787712889489
000001028634-4;SC;FLORIANOPOLIS;ESTREITO;AVENIDA GOVERNADOR IVO SILVEIRA,N. 2487, ESTREITO - CEP: 88085-001, FLORIANOPOLIS - SANTA CATARINA;1.934.248,90;3.035.000,00;36,27;;;Comercial;;;;577,10m2;4894;FLORIANOPOLIS-SC;03;Ocupado;. Ocupado;Venda Online;;;;;Sob responsabilidade do comprador, até o limite de 10% em relação ao valor de avaliação do imóvel. A CAIXA realizará o pagamento apenas do valor que exceder o limite de 10% do valor de avaliação.;Sob responsabilidade do comprador, quando o débito for inferior a 10% do valor de avaliação. A CAIXA paga integralmente quando o débito for superior a 10% do valor de avaliação.;Recursos próprios. Permite financiamento - somente SBPE. Consulte condições antes de efetuar a proposta.;NAO;SIM;https://venda-imoveis.caixa.gov.br/editais/matricula/SC/0000010286344.pdf;;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=00000010286344
144440299841-6;SC;FLORIANOPOLIS;CENTRO;RUA DESEMBARGADOR ARNO HOESCHL,N. 121 APTO. 102, BOX 15, CENTRO - CEP: 88015-620, FLORIANOPOLIS - SANTA CATARINA;809.389,16;1.270.000,00;36,27;;;Apartamento;3;1;149,18m2;115,49m2;31204, 31205;FLORIANOPOLIS-SC;01;Ocupado;3 Quartos, 1 Vaga na Garagem, 2 Wc, Sala, Cozinha. . Ocupado;Venda Online;;;;;Sob responsabilidade do comprador, até o limite de 10% em relação ao valor de avaliação do imóvel. A CAIXA realizará o pagamento apenas do valor que exceder o limite de 10% do valor de avaliação.;Sob responsabilidade do comprador, quando o débito for inferior a 10% do valor de avaliação. A CAIXA paga integralmente quando o débito for superior a 10% do valor de avaliação.;Exclusivamente à vista (somente recursos próprios).;NAO;NAO;https://venda-imoveis.caixa.gov.br/editais/matricula/SC/1444402998416.pdf;;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=01444402998416
