Numero do imovel;UF;Cidade;Bairro;Endereco;Preco;Valor de avaliacao;Desconto;Preco 1o leilao;Preco 2o leilao;Tipo;Quartos;Garagem;Area total;Area privativa;Matricula;Comarca;Oficio;Situacao;Descricao;Modalidade;Edital;Leiloeiro;Plataforma;Data certame;Condominio (regra);Tributos (regra);Formas de pagamento;Aceita FGTS;Aceita financiamento;Matricula PDF;Edital PDF;Link
144441088173-5;SC;PALHOCA;PAGANI;RUA NAJLA CARONE GUEDERT,N. 27 APTO. 102 TIPO E, VG 111, PAGANI - CEP: 88132-150, PALHOCA - SANTA CATARINA;330.300,00;550.500,00;40,00;550.500,00;330.300,00;Apartamento;2;1;107,12m2;64,30m2;83217, 83122;PALHOCA-SC;01;Ocupado;2 Quartos, 1 Vaga na Garagem, Área de Serviço, 2 Wc, Sala, Cozinha. . Ocupado;Leilão SFI;0046/0226 - CPA/RE;Andressa Sedrez Terres Tonial Ferreira;www.tonialleiloes.com.br;05/10/2026 / 09/10/2026;Sob responsabilidade do comprador.;Sob responsabilidade do comprador.;Recursos próprios. Permite utilização de FGTS. Consulte condições e enquadramento.;SIM;NAO;https://venda-imoveis.caixa.gov.br/editais/matricula/SC/1444410881735.pdf;https://venda-imoveis.caixa.gov.br/editais/EL00460226CPARE.PDF;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=01444410881735
144441764402-0;SC;PALHOCA;CENTRO;RUA EMELINE MATILDES CRISEMANN SCHEIDT,N. 257 APTO. 704 9 PAV, 13, CENTRO - CEP: 88130-290, PALHOCA - SANTA CATARINA;477.998,55;580.000,00;17,59;580.000,00;477.998,55;Apartamento;2;1;116,61m2;72,45m2;72451, 77046;PALHOCA-SC;01;Ocupado;2 Quartos, 1 Vaga na Garagem, Área de Serviço, 2 Wc, Sala, Cozinha. . Ocupado;Leilão SFI;0044/0226 - CPA/RE;WERNO KLÖCKNER JÚNIOR;www.kleiloes.com.br;28/09/2026 / 02/10/2026;Sob responsabilidade do comprador.;Sob responsabilidade do comprador.;Exclusivamente à vista (somente recursos próprios).;NAO;NAO;https://venda-imoveis.caixa.gov.br/editais/matricula/SC/1444417644020.pdf;https://venda-imoveis.caixa.gov.br/editais/EL00440226CPARE.PDF;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=01444417644020
878770360836-7;SC;PALHOCA;BELA VISTA;RUA SEBASTIAO ALZEMIRO DOS SANTOS,N. 347 APTO. 104 BL 11, BELA VISTA - CEP: 88137-640, PALHOCA - SANTA CATARINA;144.000,00;240.000,00;40,00;240.000,00;144.000,00;Apartamento;2;1;97,41m2;45,61m2;98122;PALHOCA-SC;01;Ocupado;2 Quartos, 1 Vaga na Garagem, Wc, Sala, Cozinha. . Ocupado;Leilão SFI;0047/0226 - CPA/RE;MARCO TULIO MONTENEGRO CAVALCANTI DIAS;www.lancecertoleiloes.com.br;08/10/2026 / 15/10/2026;Sob responsabilidade do comprador.;Sob responsabilidade do comprador.;Recursos próprios. Permite utilização de FGTS. Consulte condições e enquadramento.;SIM;NAO;https://venda-imoveis.caixa.gov.br/editais/matricula/SC/8787703608367.pdf;https://venda-imoveis.caixa.gov.br/editais/EL00470226CPARE.PDF;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=08787703608367
878770561220-5;SC;PALHOCA;BELA VISTA;RUA SEBASTIAO ALZEMIRO DOS SANTOS,N. 387 APTO. 104 BL 10 VG182, BELA VISTA - CEP: 88137-640, PALHOCA - SANTA CATARINA;151.200,00;252.000,00;40,00;252.000,00;151.200,00;Apartamento;2;1;80,51m2;43,80m2;102870;PALHOCA-SC;01;Ocupado;2 Quartos, 1 Vaga na Garagem, Wc, Sala, Cozinha. . Ocupado;Leilão SFI;0046/0226 - CPA/RE;Andressa Sedrez Terres Tonial Ferreira;www.tonialleiloes.com.br;05/10/2026 / 09/10/2026;Sob responsabilidade do comprador.;Sob responsabilidade do comprador.;Recursos próprios. Permite utilização de FGTS. Consulte condições e enquadramento.;SIM;NAO;https://venda-imoveis.caixa.gov.br/editais/matricula/SC/8787705612205.pdf;https://venda-imoveis.caixa.gov.br/editais/EL00460226CPARE.PDF;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=08787705612205
878771537674-1;SC;PALHOCA;SAO SEBASTIAO;RUA RAULINO MARTINHO DIAS,N. 29 APTO. AP 304 BL 06, SAO SEBASTIAO - CEP: 88136-351, PALHOCA - SANTA CATARINA;186.000,00;310.000,00;40,00;310.000,00;186.000,00;Apartamento;2;1;75,45m2;52,85m2;115776;PALHOCA-SC;01;Ocupado;2 Quartos, 1 Vaga na Garagem, Wc, Sala, Cozinha. . Ocupado;Leilão SFI;0045/0226 - CPA/RE;MARCOS ROBERTO TORRES;www.3torresleiloes.com.br;02/10/2026 / 08/10/2026;Sob responsabilidade do comprador.;Sob responsabilidade do comprador.;Recursos próprios. Permite utilização de FGTS. Consulte condições e enquadramento.;SIM;NAO;https://venda-imoveis.caixa.gov.br/editais/matricula/SC/8787715376741.pdf;https://venda-imoveis.caixa.gov.br/editais/EL00450226CPARE.PDF;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=08787715376741
878771586575-0;SC;PALHOCA;LOT PQ VALE VERDE;AVENIDA PAULO ROBERTO VIDAL,N. 2050 APTO. 102 1 PAV BL 12 LT 1 A 18 QD B1 VG 233, LOT PQ VALE VERDE - CEP: 88132-599, PALHOCA - SANTA CATARINA;133.800,00;223.000,00;40,00;223.000,00;133.800,00;Apartamento;2;1;50,87m2;43,80m2;116258;PALHOCA-SC;01;Ocupado;2 Quartos, 1 Vaga na Garagem, Área de Serviço, Wc, Sala, Cozinha. . Ocupado;Leilão SFI;0044/0226 - CPA/RE;WERNO KLÖCKNER JÚNIOR;www.kleiloes.com.br;28/09/2026 / 02/10/2026;Sob responsabilidade do comprador.;Sob responsabilidade do comprador.;Recursos próprios. Permite utilização de FGTS. Consulte condições e enquadramento.;SIM;NAO;https://venda-imoveis.caixa.gov.br/editais/matricula/SC/8787715865750.pdf;https://venda-imoveis.caixa.gov.br/editais/EL00440226CPARE.PDF;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=08787715865750
878771588251-5;SC;PALHOCA;BELA VISTA;AVENIDA PAULO ROBERTO VIDAL,N. 2050 APTO. 102 BL 11, BELA VISTA - CEP: 88132-599, PALHOCA - SANTA CATARINA;168.932,94;258.000,00;34,52;258.000,00;168.932,94;Apartamento;2;1;50,87m2;43,80m2;116295;PALHOCA-SC;01;Ocupado;2 Quartos, 1 Vaga na Garagem, Wc, Sala, Cozinha. . Ocupado;Leilão SFI;0048/0226 - CPA/RE;CIRLEI FREITAS BALBINO DA SILVA;www.globoleiloes.com.br;14/10/2026 / 20/10/2026;Sob responsabilidade do comprador.;Sob responsabilidade do comprador.;Recursos próprios. Permite utilização de FGTS. Consulte condições e enquadramento.;SIM;NAO;https://venda-imoveis.caixa.gov.br/editais/matricula/SC/8787715882515.pdf;https://venda-imoveis.caixa.gov.br/editais/EL00480226CPARE.PDF;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=08787715882515
000001018127-9;SC;SAO_JOSE;KOBRASOL;AVENIDA LEDIO JOAO MARTINS,N. 554 SL 106 ED DOM ALEXANDRE, KOBRASOL - CEP: 88101-100, SAO JOSE - SANTA CATARINA;395.960,11;250.000,00;-58,38;250.000,00;395.960,11;Sala;;;;33,30m2;26065;SAO JOSE-SC;01;Ocupado;. Ocupado;Leilão SFI;0044/0226 - CPA/RE;WERNO KLÖCKNER JÚNIOR;www.kleiloes.com.br;28/09/2026 / 02/10/2026;Sob responsabilidade do comprador.;Sob responsabilidade do comprador.;Exclusivamente à vista (somente recursos próprios).;NAO;NAO;https://venda-imoveis.caixa.gov.br/editais/matricula/SC/0000010181279.pdf;https://venda-imoveis.caixa.gov.br/editais/EL00440226CPARE.PDF;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=00000010181279
144441762824-5;SC;SAO_JOSE;FORQUILHINHA;RUA PEDRO PAULO DE ABREU,N. 801 APTO. 404 BL A VG 16, FORQUILHINHA - CEP: 88106-785, SAO JOSE - SANTA CATARINA;185.854,53;305.000,00;39,06;305.011,21;185.854,53;Apartamento;3;1;80,44m2;68,77m2;76157;SAO JOSE-SC;01;Ocupado;3 Quartos, 1 Vaga na Garagem, Wc, Sala, Cozinha. . Ocupado;Leilão SFI;0049/0226 - CPA/RE;EDUARDO SCHMITZ;www.clicleiloes.com.br;20/10/2026 / 26/10/2026;Sob responsabilidade do comprador.;Sob responsabilidade do comprador.;Recursos próprios. Permite utilização de FGTS. Consulte condições e enquadramento.;SIM;NAO;https://venda-imoveis.caixa.gov.br/editais/matricula/SC/1444417628245.pdf;https://venda-imoveis.caixa.gov.br/editais/EL00490226CPARE.PDF;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=01444417628245
144442332474-0;SC;SAO_JOSE;POTECAS;RUA HELMUTH FETT,N. 254 CASA 03, POTECAS - CEP: 88119-368, SAO JOSE - SANTA CATARINA;337.393,03;360.000,00;6,28;360.000,00;337.393,03;Casa;2;;73,87m2;71,43m2;149912;SAO JOSE-SC;01;Ocupado;2 Quartos, Área de Serviço, Wc, Sala, Lavabo, Cozinha. . Ocupado;Leilão SFI;0043/0226 - CPA/RE;LILIAMAR FÁTIMA PARMEGGIANI PESTANA MARQUES GOMES;www.pestanaleiloes.com.br;18/09/2026 / 24/09/2026;Sob responsabilidade do comprador.;Sob responsabilidade do comprador.;Recursos próprios. Permite utilização de FGTS. Consulte condições e enquadramento.;SIM;NAO;https://venda-imoveis.caixa.gov.br/editais/matricula/SC/1444423324740.pdf;https://venda-imoveis.caixa.gov.br/editais/EL00430226CPARE.PDF;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=01444423324740
