grupo;tipo;quartos;area;preco;anunciante;url;area_ficha;condominio
venda_apto;Apartamento;2;48.0;286500.0;Crédito Real Pedra Branca;https://www.imoveis-sc.com.br/palhoca/comprar/apartamento/bela-vista/apartamento-a-venda-com-2-quartos-48m2-no-bela-vista-palhoca-9086637.html;48.0;399.0
venda_apto;Apartamento;2;;278000.0;Crédito Real Imob48;https://www.imoveis-sc.com.br/palhoca/comprar/apartamento/bela-vista/apartamento-a-venda-com-2-quartos-no-bela-vista-palhoca-8875918.html;45.61;315.0
venda_apto;Apartamento;2;;305000.0;Crédito Real Grande Floripa;https://www.imoveis-sc.com.br/palhoca/comprar/apartamento/bela-vista/apartamento-a-venda-com-2-quartos-no-bela-vista-palhoca-8716127.html;64.58;
venda_apto;Apartamento;2;;240000.0;Crédito Real Biguaçu;https://www.imoveis-sc.com.br/palhoca/comprar/apartamento/bela-vista/apartamento-a-venda-com-2-quartos-no-bela-vista-palhoca-8656332.html;45.0;350.0
venda_apto;Apartamento;2;;240000.0;Crédito Real Village;https://www.imoveis-sc.com.br/palhoca/comprar/apartamento/bela-vista/apartamento-a-venda-com-2-quartos-no-bela-vista-palhoca-8718644.html;45.59;438.0
venda_apto;Apartamento;2;;330000.0;Crédito Real Continente;https://www.imoveis-sc.com.br/palhoca/comprar/apartamento/bela-vista/apartamento-a-venda-com-2-quartos-no-bela-vista-palhoca-8655830.html;50.0;
venda_apto;Apartamento;2;;340000.0;Crédito Real Iflex;https://www.imoveis-sc.com.br/palhoca/comprar/apartamento/bela-vista/apartamento-a-venda-com-2-quartos-no-bela-vista-palhoca-8538529.html;52.19;700.0
venda_apto;Apartamento;2;;335000.0;Crédito Real Dorea;https://www.imoveis-sc.com.br/palhoca/comprar/apartamento/bela-vista/apartamento-a-venda-com-2-quartos-no-bela-vista-palhoca-8656723.html;45.59;400.0
venda_apto;Apartamento;2;;259000.0;Crédito Real Plano A;https://www.imoveis-sc.com.br/palhoca/comprar/apartamento/bela-vista/apartamento-a-venda-com-2-quartos-no-bela-vista-palhoca-8718281.html;44.0;350.0
venda_apto;Apartamento;3;;515000.0;Crédito Real Plano A;https://www.imoveis-sc.com.br/palhoca/comprar/apartamento/bela-vista/apartamento-a-venda-com-3-quartos-no-bela-vista-palhoca-8718257.html;62.0;600.0
venda_apto;Apartamento;2;;245000.0;Crédito Real Biguaçu;https://www.imoveis-sc.com.br/palhoca/comprar/apartamento/bela-vista/apartamento-a-venda-com-2-quartos-no-bela-vista-palhoca-8656280.html;43.0;
venda_apto;Apartamento;2;;265000.0;Crédito Real Imob48;https://www.imoveis-sc.com.br/palhoca/comprar/apartamento/bela-vista/apartamento-a-venda-com-2-quartos-no-bela-vista-palhoca-8717245.html;43.8;
venda_apto;Apartamento;2;;256000.0;Crédito Real Biguaçu;https://www.imoveis-sc.com.br/palhoca/comprar/apartamento/bela-vista/apartamento-a-venda-com-2-quartos-no-bela-vista-palhoca-8656242.html;43.0;
venda_apto;Apartamento;2;;318000.0;Crédito Real Imob48;https://www.imoveis-sc.com.br/palhoca/comprar/apartamento/bela-vista/apartamento-a-venda-com-2-quartos-no-bela-vista-palhoca-8717235.html;47.8;
venda_apto;Apartamento;2;;230000.0;Crédito Real Continente;https://www.imoveis-sc.com.br/palhoca/comprar/apartamento/bela-vista/apartamento-a-venda-com-2-quartos-no-bela-vista-palhoca-8655868.html;46.0;325.0
venda_apto;Apartamento;2;;278000.0;Auxiliadora Predial - Florianópolis Pedra Branca;https://www.imoveis-sc.com.br/palhoca/comprar/apartamento/bela-vista/apartamento-a-venda-com-2-quartos-no-bela-vista-palhoca-1461812.html;48.74;445.0
