grupo;tipo;quartos;area;preco;condominio;anunciante;url
venda_apto;Apartamento;2;52.0;275000.0;300.0;Marcelo Paim Corretor;https://www.imoveis-sc.com.br/palhoca/comprar/apartamento/bela-vista/apartamento-a-venda-com-2-quartos-52m2-no-bela-vista-palhoca-9697019.html
venda_apto;Apartamento;2;50.0;240000.0;325.0;Marcelo Paim Corretor;https://www.imoveis-sc.com.br/palhoca/comprar/apartamento/bela-vista/apartamento-a-venda-com-2-quartos-50m2-no-bela-vista-palhoca-9635415.html
venda_apto;Apartamento;2;44.49;245000.0;450.0;Crédito Real Village;https://www.imoveis-sc.com.br/palhoca/comprar/apartamento/bela-vista/apartamento-a-venda-com-2-quartos-no-bela-vista-palhoca-8718653.html
venda_apto;Apartamento;2;48.0;286500.0;399.0;Crédito Real Pedra Branca;https://www.imoveis-sc.com.br/palhoca/comprar/apartamento/bela-vista/apartamento-a-venda-com-2-quartos-48m2-no-bela-vista-palhoca-9086637.html
venda_apto;Apartamento;2;47.8;318000.0;;Crédito Real Imob48;https://www.imoveis-sc.com.br/palhoca/comprar/apartamento/bela-vista/apartamento-a-venda-com-2-quartos-no-bela-vista-palhoca-8717235.html
venda_apto;Apartamento;2;47.21;270000.0;;Crédito Real Imob48;https://www.imoveis-sc.com.br/palhoca/comprar/apartamento/bela-vista/apartamento-a-venda-com-2-quartos-no-bela-vista-palhoca-8717209.html
venda_apto;Apartamento;2;45.75;290000.0;311.0;Crédito Real Grande Floripa;https://www.imoveis-sc.com.br/palhoca/comprar/apartamento/bela-vista/apartamento-a-venda-com-2-quartos-no-bela-vista-palhoca-8716165.html
venda_apto;Apartamento;2;56.0;325000.0;;Crédito Real Grande Floripa;https://www.imoveis-sc.com.br/palhoca/comprar/apartamento/bela-vista/apartamento-a-venda-com-2-quartos-no-bela-vista-palhoca-8716218.html
venda_apto;Apartamento;2;43.8;259000.0;500.0;Crédito Real Costa Sul;https://www.imoveis-sc.com.br/palhoca/comprar/apartamento/bela-vista/apartamento-a-venda-com-2-quartos-no-bela-vista-palhoca-8656924.html
venda_apto;Apartamento;2;59.04;350000.0;384.0;Crédito Real Iflex;https://www.imoveis-sc.com.br/palhoca/comprar/apartamento/bela-vista/apartamento-a-venda-com-2-quartos-no-bela-vista-palhoca-8539046.html
venda_apto;Apartamento;2;46.0;230000.0;325.0;Crédito Real Continente;https://www.imoveis-sc.com.br/palhoca/comprar/apartamento/bela-vista/apartamento-a-venda-com-2-quartos-no-bela-vista-palhoca-8655868.html
venda_apto;Apartamento;2;52.0;350000.0;450.0;Crédito Real Imob48;https://www.imoveis-sc.com.br/palhoca/comprar/apartamento/bela-vista/apartamento-a-venda-com-2-quartos-60m2-no-bela-vista-palhoca-9021286.html
venda_apto;Apartamento;2;45.61;260000.0;315.0;Crédito Real Imob48;https://www.imoveis-sc.com.br/palhoca/comprar/apartamento/bela-vista/apartamento-a-venda-com-2-quartos-no-bela-vista-palhoca-8875918.html
venda_apto;Apartamento;2;45.59;335000.0;400.0;Crédito Real Dorea;https://www.imoveis-sc.com.br/palhoca/comprar/apartamento/bela-vista/apartamento-a-venda-com-2-quartos-no-bela-vista-palhoca-8656723.html
venda_apto;Apartamento;2;43.0;256000.0;;Crédito Real Biguaçu;https://www.imoveis-sc.com.br/palhoca/comprar/apartamento/bela-vista/apartamento-a-venda-com-2-quartos-no-bela-vista-palhoca-8656242.html
venda_apto;Apartamento;2;50.0;340000.0;350.0;Crédito Real Iflex;https://www.imoveis-sc.com.br/palhoca/comprar/apartamento/bela-vista/apartamento-a-venda-com-2-quartos-no-bela-vista-palhoca-8538546.html
venda_apto;Apartamento;2;54.03;275000.0;;Crédito Real Imob48;https://www.imoveis-sc.com.br/palhoca/comprar/apartamento/bela-vista/apartamento-a-venda-com-2-quartos-no-bela-vista-palhoca-8717239.html
venda_apto;Apartamento;2;53.0;245000.0;300.0;Auxiliadora Predial - Florianópolis - Lagoa da Conceição;https://www.imoveis-sc.com.br/palhoca/comprar/apartamento/bela-vista/apartamento-a-venda-com-2-quartos-no-bela-vista-palhoca-1464711.html
venda_apto;Apartamento;2;;260000.0;311.0;Auxiliadora Predial - Florianópolis Pedra Branca;https://www.imoveis-sc.com.br/palhoca/comprar/apartamento/bela-vista/apartamento-a-venda-com-2-quartos-no-bela-vista-palhoca-1475338.html
venda_apto;Apartamento;2;44.0;259000.0;350.0;Auxiliadora Predial - Florianópolis - São José e Campinas;https://www.imoveis-sc.com.br/palhoca/comprar/apartamento/bela-vista/apartamento-a-venda-com-2-quartos-no-bela-vista-palhoca-1488303.html
venda_apto;Apartamento;2;48.74;278000.0;445.0;Auxiliadora Predial - Florianópolis Pedra Branca;https://www.imoveis-sc.com.br/palhoca/comprar/apartamento/bela-vista/apartamento-a-venda-com-2-quartos-no-bela-vista-palhoca-1461812.html
venda_apto;Apartamento;2;53.0;285000.0;479.0;Auxiliadora Predial - Florianópolis - São José e Campinas;https://www.imoveis-sc.com.br/palhoca/comprar/apartamento/bela-vista/apartamento-a-venda-com-2-quartos-no-bela-vista-palhoca-4652541.html
venda_apto;Apartamento;2;62.0;350000.0;530.0;Auxiliadora Predial - Pinheira;https://www.imoveis-sc.com.br/palhoca/comprar/apartamento/bela-vista/apartamento-a-venda-com-2-quartos-no-bela-vista-palhoca-1466475.html
venda_apto;Apartamento;2;61.0;270000.0;400.0;Qualité Imóveis Exclusivos;https://www.imoveis-sc.com.br/palhoca/comprar/apartamento/bela-vista/apartamento-a-venda-com-2-quartos-no-bela-vista-palhoca-3007920.html
venda_apto;Apartamento;2;53.0;265000.0;446.0;Auxiliadora Predial - Florianópolis Centro Histórico;https://www.imoveis-sc.com.br/palhoca/comprar/apartamento/bela-vista/apartamento-a-venda-com-2-quartos-no-bela-vista-palhoca-1394244.html
venda_apto;Apartamento;2;43.3;285000.0;445.0;Auxiliadora Predial - Florianópolis - Sul da Ilha;https://www.imoveis-sc.com.br/palhoca/comprar/apartamento/bela-vista/apartamento-a-venda-com-2-quartos-no-bela-vista-palhoca-4159747.html
venda_casa;Casa;2;;339200.0;;Crédito Real Biguaçu;https://www.imoveis-sc.com.br/palhoca/comprar/casa/bela-vista/casa-a-venda-com-2-quartos-48m2-no-bela-vista-palhoca-9595576.html
venda_casa;Casa;2;;365000.0;;Crédito Real Imob48;https://www.imoveis-sc.com.br/palhoca/comprar/casa/bela-vista/casa-a-venda-com-2-quartos-50m2-no-bela-vista-palhoca-9319927.html
venda_casa;Casa;2;;451579.0;;INVESTIMENTO IMOBILIÁRIO;https://www.imoveis-sc.com.br/palhoca/comprar/casa/bela-vista/casa-a-venda-com-2-quartos-76m2-no-bela-vista-palhoca-9540507.html
venda_casa;Casa;3;;820000.0;;Crédito Real Grande Floripa;https://www.imoveis-sc.com.br/palhoca/comprar/casa/bela-vista/casa-a-venda-com-3-quartos-no-bela-vista-palhoca-8716501.html
venda_casa;Casa;2;;492000.0;;Crédito Real Grande Floripa;https://www.imoveis-sc.com.br/palhoca/comprar/casa/bela-vista/casa-a-venda-com-2-quartos-no-bela-vista-palhoca-8716429.html
venda_casa;Casa;2;;360400.0;;Crédito Real Imob48;https://www.imoveis-sc.com.br/palhoca/comprar/casa/bela-vista/casa-a-venda-com-2-quartos-no-bela-vista-palhoca-8121103.html
venda_casa;Casa;2;;370000.0;;Crédito Real Imob48;https://www.imoveis-sc.com.br/palhoca/comprar/casa/bela-vista/casa-a-venda-com-2-quartos-no-bela-vista-palhoca-8717322.html
venda_casa;Casa;2;;470000.0;;Crédito Real Biguaçu;https://www.imoveis-sc.com.br/palhoca/comprar/casa/bela-vista/casa-a-venda-com-2-quartos-no-bela-vista-palhoca-8656157.html
venda_casa;Casa;2;;500000.0;;Crédito Real Grande Floripa;https://www.imoveis-sc.com.br/palhoca/comprar/casa/bela-vista/casa-a-venda-com-2-quartos-no-bela-vista-palhoca-8716062.html
venda_casa;Casa;3;;580000.0;;Crédito Real Biguaçu;https://www.imoveis-sc.com.br/palhoca/comprar/casa/bela-vista/casa-a-venda-com-3-quartos-no-bela-vista-palhoca-8656412.html
venda_casa;Casa;2;;550000.0;;Crédito Real Village;https://www.imoveis-sc.com.br/palhoca/comprar/casa/bela-vista/casa-a-venda-com-2-quartos-no-bela-vista-palhoca-8718702.html
venda_casa;Casa;3;;630000.0;;Crédito Real Imob48;https://www.imoveis-sc.com.br/palhoca/comprar/casa/bela-vista/casa-a-venda-com-3-quartos-no-bela-vista-palhoca-8717378.html
venda_casa;Casa;3;;750000.0;;Crédito Real Plano A;https://www.imoveis-sc.com.br/palhoca/comprar/casa/bela-vista/casa-a-venda-com-3-quartos-no-bela-vista-palhoca-8718262.html
venda_casa;Casa;3;;780000.0;;Crédito Real Grande Floripa;https://www.imoveis-sc.com.br/palhoca/comprar/casa/bela-vista/casa-a-venda-com-3-quartos-no-bela-vista-palhoca-8716470.html
venda_casa;Casa;3;;840000.0;;Crédito Real Grande Floripa;https://www.imoveis-sc.com.br/palhoca/comprar/casa/bela-vista/casa-a-venda-com-3-quartos-no-bela-vista-palhoca-8716179.html
venda_casa;Casa;2;;450000.0;;Crédito Real Grande Floripa;https://www.imoveis-sc.com.br/palhoca/comprar/casa/bela-vista/casa-a-venda-com-2-quartos-no-bela-vista-palhoca-8716128.html
venda_casa;Casa;2;;320000.0;;Crédito Real Grande Floripa;https://www.imoveis-sc.com.br/palhoca/comprar/casa/bela-vista/casa-a-venda-com-2-quartos-no-bela-vista-palhoca-8716418.html
venda_casa;Casa;2;;415000.0;;Crédito Real Grande Floripa;https://www.imoveis-sc.com.br/palhoca/comprar/casa/bela-vista/casa-a-venda-com-2-quartos-no-bela-vista-palhoca-8716264.html
venda_casa;Casa;2;;315880.0;;Crédito Real Grande Floripa;https://www.imoveis-sc.com.br/palhoca/comprar/casa/bela-vista/casa-a-venda-com-2-quartos-no-bela-vista-palhoca-8716058.html
venda_casa;Casa;3;;630000.0;;Crédito Real Imob48;https://www.imoveis-sc.com.br/palhoca/comprar/casa/bela-vista/casa-a-venda-com-3-quartos-no-bela-vista-palhoca-8717301.html
venda_casa;Casa;2;;410000.0;;Crédito Real Imob48;https://www.imoveis-sc.com.br/palhoca/comprar/casa/bela-vista/casa-a-venda-com-2-quartos-no-bela-vista-palhoca-8717252.html
