id,data_analise,comitente,modalidade,uf,cidade,bairro,tipo,area_m2,matricula,valor_avaliacao,lance_minimo,vvr,cta_no_minimo,lance_maximo,margem_projetada,score,ocupacao,debitos_declarados,data_certame,plataforma,link_edital,status,motivo_descarte,resultado,valor_arrematado,arrematante
144441088173-5,2026-09-17,CAIXA,Leilão SFI,SC,PALHOCA,PAGANI,NV,NV,NV,550500.0,330300.0,NV,NV,NV,NV,NV,OCUPADO,NV,NV,NV,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=01444410881735,DESCARTADO,fora_do_bairro,NV,NV,NV
144441764402-0,2026-09-17,CAIXA,Leilão SFI,SC,PALHOCA,CENTRO,NV,NV,NV,580000.0,477998.55,NV,NV,NV,NV,NV,OCUPADO,NV,NV,NV,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=01444417644020,DESCARTADO,desconto_anunciado_baixo;fora_do_bairro,NV,NV,NV
878770360836-7,2026-09-17,CAIXA,Leilão SFI,SC,PALHOCA,BELA VISTA,NV,NV,NV,240000.0,144000.0,NV,NV,NV,NV,NV,OCUPADO,NV,NV,NV,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=08787703608367,TRIAGEM,,NV,NV,NV
878770561220-5,2026-09-17,CAIXA,Leilão SFI,SC,PALHOCA,BELA VISTA,NV,NV,NV,252000.0,151200.0,NV,NV,NV,NV,NV,OCUPADO,NV,NV,NV,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=08787705612205,TRIAGEM,,NV,NV,NV
878771537674-1,2026-09-17,CAIXA,Leilão SFI,SC,PALHOCA,SAO SEBASTIAO,NV,NV,NV,310000.0,186000.0,NV,NV,NV,NV,NV,OCUPADO,NV,NV,NV,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=08787715376741,DESCARTADO,fora_do_bairro,NV,NV,NV
878771586575-0,2026-09-17,CAIXA,Leilão SFI,SC,PALHOCA,LOT PQ VALE VERDE,NV,NV,NV,223000.0,133800.0,NV,NV,NV,NV,NV,OCUPADO,NV,NV,NV,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=08787715865750,DESCARTADO,fora_do_bairro,NV,NV,NV
878771588251-5,2026-09-17,CAIXA,Leilão SFI,SC,PALHOCA,BELA VISTA,NV,NV,NV,258000.0,168932.94,NV,NV,NV,NV,NV,OCUPADO,NV,NV,NV,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=08787715882515,TRIAGEM,,NV,NV,NV
000001018127-9,2026-09-17,CAIXA,Leilão SFI,SC,SAO_JOSE,KOBRASOL,NV,NV,NV,250000.0,395960.11,NV,NV,NV,NV,NV,OCUPADO,NV,NV,NV,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=00000010181279,DESCARTADO,fora_da_cidade;fora_do_bairro,NV,NV,NV
144441762824-5,2026-09-17,CAIXA,Leilão SFI,SC,SAO_JOSE,FORQUILHINHA,NV,NV,NV,305000.0,185854.53,NV,NV,NV,NV,NV,OCUPADO,NV,NV,NV,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=01444417628245,DESCARTADO,fora_da_cidade;fora_do_bairro,NV,NV,NV
144442332474-0,2026-09-17,CAIXA,Leilão SFI,SC,SAO_JOSE,POTECAS,NV,NV,NV,360000.0,337393.03,NV,NV,NV,NV,NV,OCUPADO,NV,NV,NV,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=01444423324740,DESCARTADO,desconto_anunciado_baixo;fora_da_cidade;fora_do_bairro,NV,NV,NV
844440736266-6,2026-09-17,CAIXA,Leilão SFI,SC,SAO_JOSE,SERRARIA,NV,NV,NV,240000.0,144000.0,NV,NV,NV,NV,NV,OCUPADO,NV,NV,NV,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=08444407362666,DESCARTADO,fora_da_cidade;fora_do_bairro,NV,NV,NV
844442822457-2,2026-09-17,CAIXA,Licitação Aberta,SC,SAO_JOSE,REAL PARQUE,NV,NV,NV,256500.0,157056.1,NV,NV,NV,NV,NV,OCUPADO,NV,NV,NV,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=08444428224572,DESCARTADO,fora_da_cidade;fora_do_bairro,NV,NV,NV
855551517677-2,2026-09-17,CAIXA,Leilão SFI,SC,SAO_JOSE,ROCADO,NV,NV,NV,465000.0,279000.0,NV,NV,NV,NV,NV,OCUPADO,NV,NV,NV,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=08555515176772,DESCARTADO,fora_da_cidade;fora_do_bairro,NV,NV,NV
855553476258-4,2026-09-17,CAIXA,Leilão SFI,SC,SAO_JOSE,REAL PARQUE,NV,NV,NV,296000.0,177600.0,NV,NV,NV,NV,NV,OCUPADO,NV,NV,NV,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=08555534762584,DESCARTADO,fora_da_cidade;fora_do_bairro,NV,NV,NV
878771222509-2,2026-09-17,CAIXA,Leilão SFI,SC,SAO_JOSE,AREIAS,NV,NV,NV,250000.0,154256.96,NV,NV,NV,NV,NV,OCUPADO,NV,NV,NV,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=08787712225092,DESCARTADO,fora_da_cidade;fora_do_bairro,NV,NV,NV
878771288948-9,2026-09-17,CAIXA,Leilão SFI,SC,SAO_JOSE,FORQUILHAS LESTE,NV,NV,NV,260000.0,156000.0,NV,NV,NV,NV,NV,OCUPADO,NV,NV,NV,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=08787712889489,DESCARTADO,fora_da_cidade;fora_do_bairro,NV,NV,NV
878771560417-5,2026-09-17,CAIXA,Leilão SFI,SC,SAO_JOSE,SERTAO DO MARUIM,NV,NV,NV,230000.0,152002.3,NV,NV,NV,NV,NV,OCUPADO,NV,NV,NV,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=08787715604175,DESCARTADO,fora_da_cidade;fora_do_bairro,NV,NV,NV
